,ave_adj pumps,percentage_exploded_balloons,total_win_balloons,ave_RT_all_pumps,MI_Decision,MI_Reward,MI_Risk,Age_Continuous
ave_adj pumps,1.0,0.8476268083525007,-0.6815834276672085,-0.2715546320390222,-0.007422605846497177,0.10527862952865309,0.13000334125109117,0.34908697740441863
percentage_exploded_balloons,0.8476268083525007,1.0,-0.7030930111997162,-0.21876182695451465,0.0072917051442435935,0.03642499035338465,0.022388196482750734,0.22787728235241084
total_win_balloons,-0.6815834276672085,-0.7030930111997162,1.0,-0.40119921057611657,0.058293010624967306,0.11189500159551592,0.1608087291472786,-0.01934381362999694
ave_RT_all_pumps,-0.2715546320390222,-0.21876182695451465,-0.40119921057611657,1.0,-0.09983976751374463,-0.135701945634846,-0.23718986932914812,-0.28486340194485776
MI_Decision,-0.007422605846497177,0.0072917051442435935,0.058293010624967306,-0.09983976751374463,1.0,0.2943119477383938,0.2728933254145113,0.08793004788382203
MI_Reward,0.10527862952865309,0.03642499035338465,0.11189500159551592,-0.135701945634846,0.2943119477383938,1.0,0.7017965868375498,0.2990744789393404
MI_Risk,0.13000334125109117,0.022388196482750734,0.1608087291472786,-0.23718986932914812,0.2728933254145113,0.7017965868375498,1.0,0.31459679211243546
Age_Continuous,0.34908697740441863,0.22787728235241084,-0.01934381362999694,-0.28486340194485776,0.08793004788382203,0.2990744789393404,0.31459679211243546,1.0
