,ave_adj pumps,percentage_exploded_balloons,total_win_balloons,ave_RT_all_pumps,Age_Continuous
ave_adj pumps,1.0,0.8932152058014857,-0.5355213024658291,-0.08321965304699835,0.007208955314418238
percentage_exploded_balloons,0.8932152058014857,1.0,-0.572876878223441,-0.06352205559955151,-0.040346464420175344
total_win_balloons,-0.5355213024658291,-0.572876878223441,1.0,-0.7117113568900016,-0.05741792389318552
ave_RT_all_pumps,-0.08321965304699835,-0.06352205559955151,-0.7117113568900016,1.0,0.14065349560767443
Age_Continuous,0.007208955314418238,-0.040346464420175344,-0.05741792389318552,0.14065349560767443,1.0
